ts,bid,ask
1754006422200,29967.915128481203,29967.93514426679
1754006422500,29964.4621286397,29964.47277923255
1754006422800,29968.381059344014,29968.393398490844
1754006423100,29974.77028507225,29974.78957840542
1754006423400,29972.02268808903,29972.024856530876
1754006423700,29954.820607620288,29954.87078881075
1754006424000,29964.700569067463,29964.75846657699
1754006424300,29968.607614859087,29968.630213373406
1754006424600,29973.198348339647,29973.259074382862
1754006424900,29962.699489722698,29962.70343497862
1754006425200,29962.869908617984,29962.892665559884
1754006425500,29958.429975815514,29958.45076252695
1754006425800,29953.874900673156,29953.87819506205
1754006426100,29966.71067971986,29966.798981646305
1754006426400,29979.861909803985,29979.919462496517
1754006426700,29985.8247920123,29985.83909126733
1754006427000,29992.168540713927,29992.18488150508
1754006427300,29998.570290229884,29998.677988013387
1754006427600,29996.138483286126,29996.201093635606
1754006427900,29994.056518943285,29994.06052000052
1754006428200,29991.1709203353,29991.193843441044
1754006428500,29988.41697222283,29988.42457439529
1754006428800,30009.672689468,30009.686771211087
1754006429100,30016.938866504293,30017.000382087877
1754006429400,30016.530023200346,30016.549306963647
1754006429700,30013.949130842575,30014.078731384947
1754006430000,30002.202936278616,30002.206632821606
1754006430300,30009.52103866258,30009.645705741994
1754006430600,30010.182879623222,30010.183997766915
1754006430900,29996.44780881267,29996.495026691417
1754006431200,30002.924190027374,30002.998609965154
1754006431500,29998.971076913323,29999.04407407686
1754006431800,30008.712037033834,30008.71805494138
1754006432100,30009.926715134912,30010.053750441533
1754006432400,30028.632096777725,30028.6485434904
1754006432700,30023.069282921817,30023.10957589175
1754006433000,30015.061765424125,30015.167987741628
1754006433300,30021.6508312858,30021.68550434854
1754006433600,30030.235951907798,30030.25716412152
1754006433900,30035.643257436568,30035.668333652327
1754006434200,30025.5234621988,30025.632413653067
1754006434500,30026.341289721906,30026.359449835658
1754006434800,30026.635793338904,30026.675227547476
1754006435100,30026.40681603046,30026.417734528717
1754006435400,30015.16029153541,30015.179768425158
1754006435700,30033.524340471013,30033.527303859868
1754006436000,30030.56170327285,30030.708260182993
1754006436300,30020.029382272143,30020.03905543257
1754006436600,30026.219792413554,30026.228081067355
1754006436900,30027.404235635546,30027.40543700659
1754006437200,30029.61891505444,30029.626960819925
1754006437500,30033.788938714773,30033.87647457022
1754006437800,30040.532133008786,30040.56963193844
1754006438100,30041.33238473794,30041.335283315373
1754006438400,30049.91202557172,30049.956920738638
1754006438700,30054.945419582196,30055.01992940355
1754006439000,30049.970037791914,30049.98057087075
1754006439300,30043.499057197743,30043.55438450265
1754006439600,30039.29936297795,30039.313768766577
1754006439900,30043.03940380174,30043.06411191127
1754006440200,30031.479172887786,30031.611219480004
1754006440500,30014.69383442583,30014.82648442487
1754006440800,30015.577157595526,30015.76079296618
1754006441100,30005.64559249156,30005.662755401518
1754006441400,29983.78221525172,29983.853589746643
1754006441700,29993.54175854782,29993.608570717886
1754006442000,29986.889702406566,29987.002397135002
1754006442300,29990.878103593685,29990.93643053974
1754006442600,29983.929203001262,29984.039286095856
1754006442900,29973.145106852073,29973.279298618454
1754006443200,29963.793679932267,29963.80512560646
1754006443500,29956.76649742793,29956.775899347715
1754006443800,29959.073278640783,29959.09512875408
1754006444100,29947.596691530674,29947.681841733272
1754006444400,29947.720952090916,29947.78023253638
1754006444700,29933.371436408022,29933.419112164986
1754006445000,29931.68225996078,29931.702551092025
1754006445300,29915.88991104511,29915.906859563816
1754006445600,29913.261142555264,29913.307943070173
1754006445900,29920.87552131737,29920.934518456284
1754006446200,29931.36381815657,29931.507124586
1754006446500,29945.977250421158,29945.980980786917
1754006446800,29931.451944222998,29931.500037383285
1754006447100,29938.812841558523,29938.8596975857
1754006447400,29951.42626282121,29951.484884399593
1754006447700,29959.749461645784,29959.780460444854
1754006448000,29950.801243609258,29950.85462921068
1754006448300,29952.844839491197,29952.90753721509
1754006448600,29969.821011651034,29969.82593865271
1754006448900,29957.74362264766,29957.81061326239
1754006449200,29960.76194096625,29960.763792706668
1754006449500,29970.27576998629,29970.373629985766
1754006449800,29967.072330645093,29967.08935675398
1754006450100,29970.460478083623,29970.484604988786
1754006450400,29961.018825842573,29961.03438721848
1754006450700,29952.51705518501,29952.53132277802
1754006451000,29946.455562469768,29946.45942378624
1754006451300,29948.94162847963,29948.983262243433
1754006451600,29947.33524716153,29947.371094962975
1754006451900,29953.347861733713,29953.36437836626
1754006452200,29946.23827633267,29946.48384605334
1754006452500,29946.681436081933,29946.68419577973
1754006452800,29954.84961471616,29954.881286776526
1754006453100,29961.02502232589,29961.04607211874
1754006453400,29947.208619102363,29947.22460372661
1754006453700,29953.530695338915,29953.574718651507
1754006454000,29950.65191949272,29950.683217740534
1754006454300,29952.71556345907,29952.724895058254
1754006454600,29956.740985415465,29956.770443765487
1754006454900,29963.832485841307,29963.921503397625
1754006455200,29966.063759370038,29966.116633634716
1754006455500,29952.18804640037,29952.191290554452
1754006455800,29939.60505406606,29939.818668660442
1754006456100,29946.2118196493,29946.219740298035
1754006456400,29944.10482213747,29944.132295331012
1754006456700,29954.343977650125,29954.37047511236
1754006457000,29953.772199948013,29953.854791191035
1754006457300,29951.026712071853,29951.09789994235
1754006457600,29959.697640292623,29959.737519005153
1754006457900,29949.37031766911,29949.538983639675
1754006458200,29930.804650860002,29930.82203481564
1754006458500,29951.857296170794,29951.896295226583
1754006458800,29933.108186635563,29933.131527246824
1754006459100,29940.577784482524,29940.58815700148
1754006459400,29947.802044783206,29947.86032289667
1754006459700,29947.245111276265,29947.512376565726
1754006460000,29933.218736315433,29933.220778727267
1754006460300,29942.966738013554,29943.061715113454
1754006460600,29930.58830388863,29930.62851474076
1754006460900,29919.662713001577,29919.781316748697
1754006461200,29914.346216766895,29914.3544048862
1754006461500,29923.06345585219,29923.096808011895
1754006461800,29924.655708793907,29924.856980871366
1754006462100,29932.158392533704,29932.201345230184
1754006462400,29924.992733534695,29924.993020007896
1754006462700,29926.03808586491,29926.152243509434
1754006463000,29914.49649561414,29914.5164564582
1754006463300,29914.707540302512,29914.842356705678
1754006463600,29920.683665394885,29920.71183818169
1754006463900,29917.028325047493,29917.075602464163
1754006464200,29923.712177534482,29923.72800826543
1754006464500,29915.897210808536,29915.94867814718
1754006464800,29911.427564357753,29911.47703718355
1754006465100,29910.06387171209,29910.077659725255
1754006465400,29909.350995496457,29909.3589663501
1754006465700,29912.630304471517,29912.64828049262
1754006466000,29915.272604289505,29915.319048052912
1754006466300,29932.866701532705,29932.90132812152
1754006466600,29929.309586621206,29929.446512678984
1754006466900,29926.812044178827,29926.91539861416
1754006467200,29917.83339704654,29917.850008254165
1754006467500,29918.949095396012,29918.95565839691
1754006467800,29926.34910218739,29926.371139794177
1754006468100,29915.451912696455,29915.529281845145
1754006468400,29917.212109738095,29917.24297361206
1754006468700,29923.485606067745,29923.52791824006
1754006469000,29922.158334284028,29922.264748949976
1754006469300,29917.85544444851,29917.881182156907
1754006469600,29927.397223163796,29927.40181311017
1754006469900,29929.224456214833,29929.242071406334
1754006470200,29928.518485589477,29928.54993909591
1754006470500,29939.83341084918,29939.84488373563
1754006470800,29952.032196604952,29952.054663263007
1754006471100,29946.561367633207,29946.670902213446
1754006471400,29944.60228613041,29944.80516050835
1754006471700,29945.29432329097,29945.36177135273
1754006472000,29945.158088292428,29945.218084832002
1754006472300,29926.597331047848,29926.6184129075
1754006472600,29938.396269232166,29938.459632712
1754006472900,29943.92641746268,29944.013941069963
1754006473200,29946.06298783416,29946.06889569495
1754006473500,29938.1372728596,29938.161967756136
1754006473800,29947.509305601114,29947.544955246933
1754006474100,29943.192468136385,29943.29361659825
1754006474400,29940.142114239206,29940.15838413858
1754006474700,29929.47929452026,29929.483562234283
1754006475000,29926.422887251374,29926.52837342353
1754006475300,29920.94787311734,29921.0023967512
1754006475600,29919.620840985706,29919.62220785149
1754006475900,29927.25453206259,29927.28276151441
1754006476200,29928.959196431097,29928.98546880245
1754006476500,29935.589849149987,29935.598898431203
1754006476800,29930.91947446037,29931.016114698457
1754006477100,29922.750929425798,29922.76042961455
1754006477400,29925.860924478635,29925.863145584
1754006477700,29926.32536060619,29926.355111103527
1754006478000,29941.197002824934,29941.215483706837
1754006478300,29949.155049608522,29949.353551143624
1754006478600,29929.614589892557,29929.75610217728
1754006478900,29933.682445476712,29933.706204992755
1754006479200,29947.598386931786,29947.603041328286
1754006479500,29947.75265430455,29947.76576559192
1754006479800,29945.499831080917,29945.563058340253
1754006480100,29946.91855060113,29947.111397674253
1754006480400,29941.58383304203,29941.590627220467
1754006480700,29948.648364447108,29948.660167697424
1754006481000,29949.72117445154,29949.88617738557
1754006481300,29959.95947826835,29959.977904067542
1754006481600,29963.729229986908,29963.84488703534
1754006481900,29959.852202841408,29959.913706990294
1754006482200,29966.508299388654,29966.521033184137
1754006482500,29974.67801265526,29974.683675993325
1754006482800,29968.410856098795,29968.51943960222
1754006483100,29963.173081223,29963.23120362799
1754006483400,29943.824206017616,29944.099004302956
1754006483700,29951.717036679554,29951.72311783964
1754006484000,29946.518798356014,29946.540637348528
1754006484300,29926.487445944604,29926.53870906108
1754006484600,29912.21970969464,29912.23630540217
1754006484900,29909.957822573542,29910.047522937104
1754006485200,29913.625156869683,29913.710345476888
1754006485500,29915.761064933933,29915.823144737355
1754006485800,29917.499074972256,29917.50064727966
1754006486100,29909.210936858362,29909.331672241635
1754006486400,29896.841741439617,29896.87066454692
1754006486700,29905.700052777687,29905.76047716721
1754006487000,29908.682028634976,29908.70897875091
1754006487300,29908.60711949794,29908.64521013617
1754006487600,29919.89941368843,29919.921210924156
1754006487900,29911.391733106007,29911.426495122556
1754006488200,29906.248022324187,29906.261617380682
1754006488500,29918.340220236212,29918.36024712419
1754006488800,29933.205190618515,29933.238622432058
1754006489100,29934.668954465724,29934.680798065307
1754006489400,29949.174744079897,29949.28902278112
1754006489700,29944.45312968971,29944.459658163512
1754006490000,29947.64999388677,29947.66889875246
1754006490300,29943.3047227154,29943.32428770704
1754006490600,29930.798422805252,29930.80823568171
1754006490900,29933.501157029175,29933.651828906317
1754006491200,29940.63250147169,29940.64907428645
1754006491500,29939.363788794304,29939.373658558514
1754006491800,29940.255147494056,29940.264670534394
1754006492100,29954.076859999586,29954.15854786971
1754006492400,29941.800219531564,29941.820825547264
1754006492700,29928.574855923445,29928.60119632098
1754006493000,29922.125597857434,29922.183609739994
1754006493300,29913.702921095126,29913.830557404337
1754006493600,29923.098174332375,29923.102139834777
1754006493900,29927.1541019966,29927.165055983325
1754006494200,29923.045840212817,29923.055682282433
1754006494500,29913.065132072843,29913.134382076067
1754006494800,29938.18371207869,29938.23423082149
1754006495100,29930.40801822359,29930.49174157078
1754006495400,29923.51906605959,29923.51915477535
1754006495700,29931.795267345195,29931.804066667908
1754006496000,29934.448760886164,29934.480819790337
1754006496300,29934.9981487254,29935.049464199885
1754006496600,29927.448967507982,29927.511003618478
1754006496900,29916.125987694668,29916.172475894866
1754006497200,29923.122576552443,29923.14616404286
1754006497500,29921.702491040505,29921.70382524259
1754006497800,29908.780951757097,29908.79673936743
1754006498100,29920.65349419002,29920.65927212485
1754006498400,29926.05990933111,29926.19136552723
1754006498700,29923.233532989034,29923.390681395744
1754006499000,29920.93144564551,29920.975738558584
1754006499300,29924.963144273726,29925.091567307554
1754006499600,29914.83952024646,29914.88303362507
1754006499900,29903.291619230637,29903.322726506136
1754006500200,29906.760681850614,29906.8331535538
1754006500500,29892.927350097056,29892.946671058835
1754006500800,29898.886509016043,29899.037944106585
1754006501100,29884.706778895943,29884.742435127908
1754006501400,29882.93921241041,29883.027576553668
1754006501700,29883.96185305603,29884.02746133222
1754006502000,29899.012149036207,29899.07156873794
1754006502300,29890.205379562325,29890.249782402298
1754006502600,29876.92314782859,29876.93732009696
1754006502900,29870.358104466974,29870.380932188837
1754006503200,29859.49474181731,29859.523029208853
1754006503500,29856.46257869322,29856.491980190087
1754006503800,29858.191142555057,29858.208166298406
1754006504100,29867.982929010115,29868.023550183763
1754006504400,29881.71341021386,29881.751381562804
1754006504700,29874.696305049667,29874.71040630918
1754006505000,29897.20777156803,29897.21828320977
1754006505300,29918.563907776774,29918.69799017283
1754006505600,29913.96008841767,29914.00328064696
1754006505900,29894.623598456485,29894.624575480673
1754006506200,29892.105040059487,29892.13743847911
1754006506500,29895.42559359327,29895.455708581558
1754006506800,29873.7305264367,29873.76388521928
1754006507100,29875.30445297735,29875.317561970212
1754006507400,29873.139193186744,29873.284160513413
1754006507700,29864.760434598636,29864.769187731366
1754006508000,29869.220441812566,29869.330091081512
1754006508300,29879.67159606943,29879.68088174317
1754006508600,29874.27964829441,29874.281429456685
1754006508900,29876.73693944516,29876.742430411658
1754006509200,29873.848700758543,29874.01902070501
1754006509500,29865.752419747223,29865.775472926674
1754006509800,29865.565653925743,29865.602314641266
1754006510100,29870.769694840157,29870.80502920661
1754006510400,29866.049112864315,29866.13187091216
1754006510700,29845.275229410658,29845.28777063014
1754006511000,29850.104758119058,29850.1322265236
1754006511300,29836.04033928946,29836.1598098639
1754006511600,29837.69995321925,29837.7600150367
1754006511900,29855.965960152396,29855.979924733525
1754006512200,29851.087537566575,29851.148236407866
1754006512500,29842.194252287827,29842.285164854195
1754006512800,29828.283354557403,29828.30768358527
1754006513100,29843.032754786684,29843.06366584621
1754006513400,29838.61540245916,29838.6749311389
1754006513700,29846.088646370517,29846.107615483932
1754006514000,29853.440329427063,29853.459109027066
1754006514300,29852.8027994877,29852.863211284934
1754006514600,29850.874996658833,29850.96395987803
1754006514900,29841.467378219546,29841.50779131466
1754006515200,29812.844518644524,29812.865357257935
1754006515500,29802.459917808046,29802.5219897984
1754006515800,29797.391920741953,29797.408907349665
1754006516100,29794.813851043888,29794.81671241241
1754006516400,29799.983833899514,29800.03199771696
1754006516700,29801.037963569972,29801.038124018807
1754006517000,29800.430891093867,29800.482984448678
1754006517300,29808.613133550036,29808.63875513703
1754006517600,29801.920070481392,29801.959277602444
1754006517900,29799.00907153578,29799.026066071732
1754006518200,29784.225284973953,29784.27730977394
1754006518500,29793.924253703302,29794.017930220314
1754006518800,29792.753252224913,29792.777428123376
1754006519100,29798.6397260605,29798.67815731011
1754006519400,29811.065966548627,29811.29308473878
1754006519700,29822.741395116645,29822.780197943124
1754006520000,29821.60732578232,29821.617944998947
1754006520300,29827.16341925851,29827.204352451467
1754006520600,29815.961177513334,29815.97742725477
1754006520900,29819.50437501383,29819.506366930058
1754006521200,29820.637175432214,29820.651483376725
1754006521500,29805.45525411179,29805.456191545694
1754006521800,29815.22144603963,29815.22711262025
1754006522100,29809.8680655003,29809.891785273172
1754006522400,29818.05989795576,29818.083446819437
1754006522700,29814.826179921027,29814.895691532827
1754006523000,29819.61566329001,29819.6171949602
1754006523300,29832.264259035957,29832.27742889254
1754006523600,29823.168834193548,29823.174712359312
1754006523900,29810.518015454603,29810.52909036511
1754006524200,29812.158386977997,29812.226464702264
1754006524500,29817.972768807453,29818.00419045593
1754006524800,29816.2762354949,29816.318537422332
1754006525100,29812.139205758842,29812.215238454028
1754006525400,29811.900886838615,29811.908116592327
1754006525700,29789.94007614968,29789.95249488295
1754006526000,29784.281096934683,29784.316428075508
1754006526300,29772.115897373347,29772.133111866286
1754006526600,29775.624986618088,29775.6393532327
1754006526900,29769.171381018867,29769.315518932686
1754006527200,29758.430902850218,29758.444884196484
1754006527500,29753.000527798733,29753.121856071975
1754006527800,29743.005755350627,29743.069885657787
1754006528100,29744.352110465734,29744.371526534334
1754006528400,29733.546372518707,29733.547146451398
1754006528700,29731.624726279453,29731.635194763494
1754006529000,29725.89715100814,29725.94104235713
1754006529300,29732.940325586827,29733.068091736222
1754006529600,29732.897310488275,29732.936328259573
1754006529900,29737.646111821057,29737.718310034994
1754006530200,29743.153767226726,29743.18625698947
1754006530500,29733.813952886372,29733.8771261354
1754006530800,29739.205287722765,29739.208324991738
1754006531100,29745.345358931307,29745.39271457969
1754006531400,29746.923757299,29746.943010309875
1754006531700,29741.06488108276,29741.15641233409
1754006532000,29736.193779192494,29736.194351726022
1754006532300,29744.893070074962,29744.900692266187
1754006532600,29765.17976789661,29765.286984408922
1754006532900,29756.678655102314,29756.688387080987
1754006533200,29759.74398927379,29759.796274232198
1754006533500,29756.603653898248,29756.757782709097
1754006533800,29764.47655561655,29764.525350642638
1754006534100,29769.39595826646,29769.42663248993
1754006534400,29779.245020355804,29779.272674809683
1754006534700,29755.49709187232,29755.59473547229
1754006535000,29747.454444792424,29747.455540963823
1754006535300,29738.38417141953,29738.51108797865
1754006535600,29736.117612607057,29736.170889004956
1754006535900,29730.676074571125,29730.7793643558
1754006536200,29726.109837762273,29726.170213442576
1754006536500,29732.12011450286,29732.150327085525
1754006536800,29749.212767581146,29749.277513263896
1754006537100,29724.592011869838,29724.674020062124
1754006537400,29721.006480983036,29721.006746509243
1754006537700,29722.216145426763,29722.23752854215
1754006538000,29724.62360864438,29724.711335737895
1754006538300,29721.785470364917,29721.855621964696
1754006538600,29708.040205032852,29708.091035508438
1754006538900,29705.60476270393,29705.71925386237
1754006539200,29703.58671444262,29703.592794693057
1754006539500,29714.477238277464,29714.76672214967
1754006539800,29716.837381897778,29716.91228079574
1754006540100,29709.357872532946,29709.476101558215
1754006540400,29709.672475000243,29709.833102116227
1754006540700,29709.328380751573,29709.332895187905
1754006541000,29715.486650647937,29715.5184661566
1754006541300,29715.694993331104,29715.706906886204
1754006541600,29709.65170395648,29709.703375278317
1754006541900,29713.357669867528,29713.4054337312
1754006542200,29698.303078066827,29698.314317234
1754006542500,29707.40236441892,29707.73296239327
1754006542800,29718.49523743793,29718.500040481984
1754006543100,29707.37309276848,29707.422111056097
1754006543400,29711.421143788746,29711.439260285693
1754006543700,29702.435909553646,29702.508306939995
1754006544000,29711.374154780162,29711.39204870066
1754006544300,29718.634019351968,29718.655939235094
1754006544600,29716.721966660072,29716.762040596404
1754006544900,29726.722612128022,29726.7521269385
1754006545200,29723.95049068384,29723.97866575941
1754006545500,29718.365124763306,29718.39994655283
1754006545800,29713.637514856495,29713.64889648456
1754006546100,29707.63418647019,29707.764687711264
1754006546400,29707.033089424018,29707.051545505397
1754006546700,29708.017362233746,29708.043711756436
1754006547000,29704.257584010276,29704.273854920106
1754006547300,29711.06545960278,29711.14619916439
1754006547600,29719.54395975159,29719.614299541227
1754006547900,29717.226556334423,29717.237730344943
1754006548200,29702.33038149795,29702.35603427937
1754006548500,29709.64370798623,29709.704730752055
1754006548800,29720.434816227636,29720.43702468786
1754006549100,29718.875496694116,29718.886590720158
1754006549400,29706.238473646325,29706.24421095705
1754006549700,29711.109642152107,29711.14186006356
1754006550000,29723.720659628278,29723.766268815387
1754006550300,29707.329541397026,29707.439859428174
1754006550600,29710.504848562705,29710.634374702844
1754006550900,29707.64503839818,29707.796734505304
1754006551200,29698.648386655776,29698.65273298972
1754006551500,29701.36615891956,29701.406526397506
1754006551800,29690.97268731266,29691.00161968631
1754006552100,29692.960133635937,29693.03603478079
1754006552400,29706.85443756953,29707.045455820236
1754006552700,29706.382290051726,29706.477749540383
1754006553000,29699.97376476559,29700.030951550045
1754006553300,29683.50273715718,29683.558766711747
1754006553600,29673.489344615835,29673.517919111295
1754006553900,29656.833626516956,29656.841914151526
1754006554200,29673.297457866483,29673.48493147483
1754006554500,29670.46743737469,29670.47324706822
1754006554800,29662.11558318691,29662.142054035183
1754006555100,29648.281501405243,29648.585558714385
1754006555400,29636.15702530194,29636.164672831077
1754006555700,29637.245736259953,29637.288648959533
1754006556000,29627.210445989567,29627.36365295047
1754006556300,29638.713624467764,29638.732978357595
1754006556600,29634.767851015917,29634.782092599256
1754006556900,29625.46719995556,29625.467755061854
1754006557200,29628.625050927967,29628.6265537044
1754006557500,29641.108018671937,29641.240186524334
1754006557800,29652.215057079167,29652.245274516757
1754006558100,29648.095748231128,29648.110739685253
1754006558400,29648.47860568848,29648.484304055306
1754006558700,29652.589275857077,29652.657273301425
1754006559000,29657.258873619172,29657.336352713053
1754006559300,29660.341826317603,29660.505085299414
1754006559600,29650.894009478856,29650.908099598433
1754006559900,29640.374692864396,29640.399513309145
1754006560200,29644.63980712086,29644.640473960804
1754006560500,29632.281437176167,29632.286027041653
1754006560800,29642.718275884505,29642.73122005501
1754006561100,29643.66051382796,29643.66080722254
1754006561400,29634.054631779112,29634.32605690003
1754006561700,29633.189066628685,29633.221946722224
1754006562000,29626.00370196694,29626.08901558999
1754006562300,29627.178609366478,29627.21032323515
1754006562600,29634.64372019399,29634.64491801971
1754006562900,29617.281303013715,29617.31446283696
1754006563200,29605.26932750049,29605.31261859096
1754006563500,29606.7384843855,29606.798721635747
1754006563800,29604.6495490225,29604.708219434833
1754006564100,29607.43622778705,29607.49042477627
1754006564400,29611.87786351871,29611.887525032
1754006564700,29613.424243922374,29613.44390237022
1754006565000,29617.01387590986,29617.041208939987
1754006565300,29607.686710605733,29607.728648258177
1754006565600,29609.292254654894,29609.48472716689
1754006565900,29602.86936527467,29602.877336380774
1754006566200,29590.74051696604,29590.807222869124
1754006566500,29597.253324628782,29597.280563216376
1754006566800,29600.243197352705,29600.32125843881
1754006567100,29583.59439577668,29583.608010739874
1754006567400,29574.812861898034,29574.85873713775
1754006567700,29579.127459657393,29579.158810568115
1754006568000,29586.145360549825,29586.29752281798
1754006568300,29580.38172706986,29580.391094316434
1754006568600,29579.81967212458,29579.93203575259
1754006568900,29565.98172325395,29565.986869806504
1754006569200,29588.873741787673,29589.001219912974
1754006569500,29592.603393171747,29592.634071183296
1754006569800,29604.423875584085,29604.474494469905
1754006570100,29607.05402470723,29607.068626748875
1754006570400,29618.011585160348,29618.170871192553
1754006570700,29621.554467092872,29621.721895417788
1754006571000,29621.07189966776,29621.087474225773
1754006571300,29623.5861422894,29623.681778149185
1754006571600,29626.03128088595,29626.054601334577
1754006571900,29633.703596692594,29633.830734342646
1754006572200,29632.683205734666,29632.6911960419
1754006572500,29626.836022709256,29626.912198829246
1754006572800,29631.299942293863,29631.31064329755
1754006573100,29646.196633227348,29646.221102638086
1754006573400,29648.705590255962,29648.79365958284
1754006573700,29640.413425980118,29640.417473294216
1754006574000,29639.46495762285,29639.483060698713
1754006574300,29632.705639271975,29632.837446213656
1754006574600,29648.323106561304,29648.384690242954
1754006574900,29655.31285866501,29655.339436986094
1754006575200,29670.360580087847,29670.36357137578
1754006575500,29668.700965197193,29668.714492368515
1754006575800,29666.260304234325,29666.260908277312
1754006576100,29679.506488394294,29679.55200145413
1754006576400,29692.217380321283,29692.29333288738
1754006576700,29695.034016191883,29695.0507890494
1754006577000,29695.416125029114,29695.420697410715
1754006577300,29708.198285513747,29708.241869748526
1754006577600,29701.387652949226,29701.513285123205
1754006577900,29709.141856313327,29709.161848321157
1754006578200,29701.346833546566,29701.45969436621
1754006578500,29694.746319374095,29694.7522033034
1754006578800,29698.91610866098,29699.01179118
1754006579100,29704.39968543669,29704.437881387534
1754006579400,29718.378349955372,29718.424681115615
1754006579700,29716.709799501994,29716.749602077398
1754006580000,29714.04016378045,29714.072544686755
1754006580300,29709.361179415813,29709.36371377149
1754006580600,29692.554754718785,29692.56330648637
1754006580900,29674.48614280883,29674.494505453225
1754006581200,29679.25218509606,29679.253621056017
1754006581500,29669.198299711057,29669.245879555918
1754006581800,29680.091052675125,29680.244519162843
1754006582100,29688.789156129395,29688.805070578223
1754006582400,29687.365549545866,29687.365709882804
1754006582700,29706.820150400446,29706.88968446143
1754006583000,29707.23196579205,29707.24798732041
1754006583300,29716.38130752697,29716.43662575294
1754006583600,29713.497085835766,29713.645397322707
1754006583900,29723.308055862035,29723.347719568497
1754006584200,29714.980291677202,29715.01503435277
1754006584500,29720.4753742394,29720.584453642918
1754006584800,29713.528161031856,29713.57506364547
1754006585100,29713.90695353141,29714.089111894868
1754006585400,29720.180996081257,29720.2037617496
1754006585700,29721.523546819266,29721.66946469397
1754006586000,29718.897851984315,29718.965714989805
1754006586300,29726.61156392236,29726.66135424883
1754006586600,29732.667755339397,29732.70007426593
1754006586900,29721.127954796473,29721.182171526045
1754006587200,29726.987992292663,29727.217122423237
1754006587500,29733.605833706682,29733.60654051889
1754006587800,29726.906096514653,29726.95614756816
1754006588100,29730.943412673612,29731.051194063457
1754006588400,29717.907636766104,29717.9182150504
1754006588700,29728.603732958964,29728.693699866755
1754006589000,29728.42093646962,29728.56391978798
1754006589300,29727.002041442604,29727.049130120336
1754006589600,29735.791761254073,29735.90971510024
1754006589900,29736.160345546727,29736.16850629235
1754006590200,29743.060815668003,29743.061971320763
